"latin24CompactTimeStamp_c19a55","separator_c19a55","separator_c19a55 2","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"","—","","Friday, October 10, 2025 at 3:19 PM","Put Sweep","PLTR","170","01/16/2026","Put","Ask","331","$571K","949","3,561","3 days ago","Friday, October 10, 2025 at 3:04 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:19 PM","","","","","","",""
"3:19 PM","[","]","Friday, October 10, 2025 at 3:19 PM","Put Sweep","TSLA","420","10/17/2025","Put","Ask","300","$408K","25,046","11,726","3 days ago","Friday, October 10, 2025 at 3:04 PM","","","","","","","","","","",""
"3:21 PM","[","]","Friday, October 10, 2025 at 3:21 PM","Call Sweep","NVDA","230","12/19/2025","Call","Above","2,000","$514.2K","8,118","42,274","3 days ago","Friday, October 10, 2025 at 3:06 PM","","","","","","","","","","",""
"3:24 PM","[","]","Friday, October 10, 2025 at 3:24 PM","Call Sweep","UNH","320","10/17/2025","Call","Ask","225","$842.6K","300","6,976","3 days ago","Friday, October 10, 2025 at 3:09 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 3:27 PM","Put Sweep","META","700","11/21/2025","Put","Above","251","$901K","1,128","4,348","3 days ago","Friday, October 10, 2025 at 3:12 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:27 PM","","","","","","",""
"3:29 PM","[","]","Friday, October 10, 2025 at 3:29 PM","Unusual Call Sweep","TSLA","420","10/17/2025","Call","Ask","533","$589K","30,172","6,148","3 days ago","Friday, October 10, 2025 at 3:14 PM","","","","","","","","","","",""
"3:31 PM","[","]","Friday, October 10, 2025 at 3:31 PM","Put Sweep","TSLA","380","10/24/2025","Put","Ask","500","$410K","2,140","4,464","3 days ago","Friday, October 10, 2025 at 3:16 PM","","","","","","","","","","",""
"3:32 PM","[","]","Friday, October 10, 2025 at 3:32 PM","Unusual Put Sweep","TSLA","315","10/17/2025","Put","Above","15,000","$704K","15,957","3,582","3 days ago","Friday, October 10, 2025 at 3:16 PM","","","","","","","","","","",""
"3:33 PM","[","]","Friday, October 10, 2025 at 3:33 PM","Call Sweep","TSLA","860","08/21/2026","Call","Ask","224","$425.6K","225","90","3 days ago","Friday, October 10, 2025 at 3:18 PM","","","","","","","","","","",""
"3:33 PM","[","]","Friday, October 10, 2025 at 3:33 PM","Call Sweep","UNH","400","12/17/2027","Call","Ask","244","$1.5M","1,278","6,736","3 days ago","Friday, October 10, 2025 at 3:18 PM","","","","","","","","","","",""
"3:34 PM","[","]","Friday, October 10, 2025 at 3:34 PM","Call Sweep","UNH","400","12/17/2027","Call","Ask","159","$954K","1,717","6,736","3 days ago","Friday, October 10, 2025 at 3:19 PM","","","","","","","","","","",""
"3:34 PM","[","]","Friday, October 10, 2025 at 3:34 PM","Put Sweep","MSTR","220","10/17/2025","Put","Above","3,700","$462.5K","6,202","9,570","3 days ago","Friday, October 10, 2025 at 3:19 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","—","","Friday, October 10, 2025 at 3:37 PM","Call Sweep","UNH","310","01/15/2027","Call","Ask","241","$2M","314","1,682","3 days ago","Friday, October 10, 2025 at 3:22 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:37 PM","","","","","","",""
"3:38 PM","[","]","Friday, October 10, 2025 at 3:38 PM","Call Sweep","IBIT","68","11/21/2025","Call","Ask","2,000","$660K","3,304","18,213","3 days ago","Friday, October 10, 2025 at 3:22 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"3:39 PM","[","]","Friday, October 10, 2025 at 3:39 PM","Call Sweep","BIIB","150","01/21/2028","Call","Ask","319","$1.2M","330","112","3 days ago","Friday, October 10, 2025 at 3:24 PM","","","","","","","","","","",""
"3:41 PM","[","]","Friday, October 10, 2025 at 3:41 PM","Call Sweep","UNH","320","10/17/2025","Call","Ask","200","$725K","502","6,976","3 days ago","Friday, October 10, 2025 at 3:26 PM","","","","","","","","","","",""
"3:42 PM","[","]","Friday, October 10, 2025 at 3:42 PM","Unusual Put Sweep","QLD","130","01/16/2026","Put","Above","1,301","$1.2M","1,681","25","3 days ago","Friday, October 10, 2025 at 3:27 PM","","","","","","","","","","",""
"3:42 PM","[","]","Friday, October 10, 2025 at 3:42 PM","Put Sweep","NVDA","150","01/16/2026","Put","Above","2,499","$1.2M","3,754","68,736","3 days ago","Friday, October 10, 2025 at 3:27 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"3:42 PM","[","]","Friday, October 10, 2025 at 3:42 PM","Put Sweep","NVDA","150","01/16/2026","Put","Ask","2,500","$1.2M","6,254","68,736","3 days ago","Friday, October 10, 2025 at 3:27 PM","","","","","","","","","","",""
"3:43 PM","[","]","Friday, October 10, 2025 at 3:43 PM","Call Sweep","UNH","420","12/17/2027","Call","Above","448","$2.4M","695","3,090","3 days ago","Friday, October 10, 2025 at 3:27 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"3:43 PM","[","]","Friday, October 10, 2025 at 3:43 PM","Put Sweep","NVDA","150","01/16/2026","Put","Ask","1,500","$712.5K","7,755","68,736","3 days ago","Friday, October 10, 2025 at 3:28 PM","","","","","","","","","","",""
"3:44 PM","[","]","Friday, October 10, 2025 at 3:44 PM","Call Sweep","TSLA","420","09/18/2026","Call","Ask","200","$1.9M","563","1,133","3 days ago","Friday, October 10, 2025 at 3:29 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 3:45 PM","Call Sweep","AMD","200","01/16/2026","Call","Ask","250","$885K","2,924","20,746","3 days ago","Friday, October 10, 2025 at 3:30 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:45 PM","","","","","","",""
"3:49 PM","[","]","Friday, October 10, 2025 at 3:49 PM","Put Sweep","MS","160","12/17/2027","Put","Ask","205","$565.8K","207","373","3 days ago","Friday, October 10, 2025 at 3:34 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"3:49 PM","[","]","Friday, October 10, 2025 at 3:49 PM","Unusual Call Sweep","MS","155","12/17/2027","Call","Ask","160","$408K","170","33","3 days ago","Friday, October 10, 2025 at 3:34 PM","","","","","","","","","","",""
"3:51 PM","[","]","Friday, October 10, 2025 at 3:51 PM","Put Sweep","ORCL","292.5","10/17/2025","Put","Above","386","$453.6K","1,346","712","3 days ago","Friday, October 10, 2025 at 3:36 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 3:53 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","1,167","$3.5M","1,167","4","3 days ago","Friday, October 10, 2025 at 3:38 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:53 PM",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"3:53 PM","[","]","Friday, October 10, 2025 at 3:53 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","758","$2.3M","1,925","4","3 days ago","Friday, October 10, 2025 at 3:38 PM","","","","","","","","","","",""
"3:53 PM","[","]","Friday, October 10, 2025 at 3:53 PM","Unusual Put Sweep","OKLO","146","10/17/2025","Put","Ask","1,200","$1.2M","5,624","13","3 days ago","Friday, October 10, 2025 at 3:38 PM","","","","","","","","","","",""
"3:54 PM","[","]","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","210","$630K","2,185","4","3 days ago","Friday, October 10, 2025 at 3:39 PM","","","","","","","","","","",""
"3:54 PM","[","]","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","216","$648K","2,833","4","3 days ago","Friday, October 10, 2025 at 3:39 PM","","","","","","","","","","",""
"3:58 PM","[","]","Friday, October 10, 2025 at 3:58 PM","Call Sweep","BMNR","40","01/15/2027","Call","Ask","435","$1.3M","1,280","9,477","3 days ago","Friday, October 10, 2025 at 3:43 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"3:58 PM","[","]","Friday, October 10, 2025 at 3:58 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","429","$1.3M","3,266","4","3 days ago","Friday, October 10, 2025 at 3:43 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","—","","Friday, October 10, 2025 at 4:00 PM","Call Sweep","NVDA","195","11/21/2025","Call","Ask","601","$492.8K","21,082","28,768","3 days ago","Friday, October 10, 2025 at 3:45 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 4:00 PM","","","","","","",""
"4:02 PM","[","]","Friday, October 10, 2025 at 4:02 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","391","$1.1M","3,662","4","3 days ago","Friday, October 10, 2025 at 3:47 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"4:02 PM","[","]","Friday, October 10, 2025 at 4:02 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","199","$582.1K","3,861","4","3 days ago","Friday, October 10, 2025 at 3:47 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"4:04 PM","[","]","Friday, October 10, 2025 at 4:04 PM","Put Sweep","CAT","470","11/21/2025","Put","Ask","399","$598.5K","479","825","3 days ago","Friday, October 10, 2025 at 3:49 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 4:09 PM","Put Sweep","UPXI","7.5","12/19/2025","Put","Ask","1,500","$420K","1,506","5,170","3 days ago","Friday, October 10, 2025 at 3:54 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 4:09 PM",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"4:13 PM","[","]","Friday, October 10, 2025 at 4:13 PM","Put Sweep","MRVL","75","06/18/2026","Put","Above","417","$400.5K","439","1,334","3 days ago","Friday, October 10, 2025 at 3:57 PM","","","","","","","","","","",""
"4:14 PM","[","]","Friday, October 10, 2025 at 4:14 PM","Call Sweep","NVDA","175","12/19/2025","Call","Ask","200","$407K","750","25,693","3 days ago","Friday, October 10, 2025 at 3:59 PM","","","","","","","","","","",""
"","—","","Monday, October 13, 2025 at 9:45 AM","Call Sweep","EOSE","10","05/15/2026","Call","Above","3,199","$2.5M","3,200","9,438","30 minutes ago","Monday, October 13, 2025 at 9:30 AM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:45 AM",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:45 AM","[","]","Monday, October 13, 2025 at 9:45 AM","Unusual Call Sweep","AMD","232.5","10/17/2025","Call","Ask","8,850","$2.5M","10,002","2,121","30 minutes ago","Monday, October 13, 2025 at 9:30 AM","","","","","","","","","","",""
"9:46 AM","[","]","Monday, October 13, 2025 at 9:46 AM","Call Sweep","UUUU","22","10/24/2025","Call","Above","1,100","$418.2K","1,137","2,135","29 minutes ago","Monday, October 13, 2025 at 9:31 AM","","","","","","","","","","",""
"9:46 AM","[","]","Monday, October 13, 2025 at 9:46 AM","Call Sweep","GLD","371","10/22/2025","Call","Ask","524","$448K","1,006","5,793","29 minutes ago","Monday, October 13, 2025 at 9:31 AM","","","","","","","","","","",""
"9:47 AM","[","]","Monday, October 13, 2025 at 9:47 AM","Call Sweep","AVGO","340","10/17/2025","Call","Above","290","$484.7K","453","6,371","28 minutes ago","Monday, October 13, 2025 at 9:31 AM","","","","","","","","","","",""
"9:47 AM","[","]","Monday, October 13, 2025 at 9:47 AM","Call Sweep","GLD","371","10/22/2025","Call","Above","500","$406K","3,019","5,793","28 minutes ago","Monday, October 13, 2025 at 9:32 AM","","","","","","","","","","",""
"9:48 AM","[","]","Monday, October 13, 2025 at 9:48 AM","Call Sweep","ORCL","300","11/21/2025","Call","Ask","200","$466K","214","4,014","27 minutes ago","Monday, October 13, 2025 at 9:33 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:48 AM","[","]","Monday, October 13, 2025 at 9:48 AM","Call Sweep","NVDA","190","11/14/2025","Call","Ask","3,740","$3.4M","5,810","4,793","26 minutes ago","Monday, October 13, 2025 at 9:33 AM","","","","","","","","","","",""
"9:48 AM","[","]","Monday, October 13, 2025 at 9:48 AM","Call Sweep","NVDA","190","11/14/2025","Call","Above","2,200","$2M","8,012","4,793","26 minutes ago","Monday, October 13, 2025 at 9:33 AM","","","","","","","","","","",""
"9:49 AM","[","]","Monday, October 13, 2025 at 9:49 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","665","$656.7K","3,139","10,484","26 minutes ago","Monday, October 13, 2025 at 9:34 AM","","","","","","","","","","",""
"9:49 AM","[","]","Monday, October 13, 2025 at 9:49 AM","Unusual Call Sweep","BMNR","55","11/14/2025","Call","Ask","998","$733.5K","1,022","138","25 minutes ago","Monday, October 13, 2025 at 9:34 AM","","","","","","","","","","",""
"9:50 AM","[","]","Monday, October 13, 2025 at 9:50 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","714","$746.4K","3,892","10,484","25 minutes ago","Monday, October 13, 2025 at 9:35 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:50 AM","[","]","Monday, October 13, 2025 at 9:50 AM","Call Sweep","BMNR","50","01/16/2026","Call","Above","400","$608.3K","724","14,019","25 minutes ago","Monday, October 13, 2025 at 9:35 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:52 AM","[","]","Monday, October 13, 2025 at 9:52 AM","Unusual Call Sweep","NVDA","190","11/14/2025","Call","Above","4,630","$4.1M","15,460","4,793","23 minutes ago","Monday, October 13, 2025 at 9:36 AM","","","","","","","","","","",""
"","—","","Monday, October 13, 2025 at 9:52 AM","Put Sweep","AVGO","345","10/17/2025","Put","Ask","666","$712.6K","5,557","10,484","23 minutes ago","Monday, October 13, 2025 at 9:37 AM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:52 AM",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:53 AM","[","]","Monday, October 13, 2025 at 9:53 AM","Unusual Call Sweep","GLD","377","10/31/2025","Call","Ask","1,143","$834.4K","1,364","123","22 minutes ago","Monday, October 13, 2025 at 9:38 AM","","","","","","","","","","",""
"9:53 AM","[","]","Monday, October 13, 2025 at 9:53 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","701","$739.6K","6,313","10,484","22 minutes ago","Monday, October 13, 2025 at 9:38 AM","","","","","","","","","","",""
"9:53 AM","[","]","Monday, October 13, 2025 at 9:53 AM","Call Sweep","TSLA","430","10/17/2025","Call","Above","2,032","$1.6M","6,770","11,938","21 minutes ago","Monday, October 13, 2025 at 9:38 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:54 AM","[","]","Monday, October 13, 2025 at 9:54 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","696","$679.8K","7,058","10,484","21 minutes ago","Monday, October 13, 2025 at 9:39 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:55 AM","[","]","Monday, October 13, 2025 at 9:55 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","686","$690K","7,792","10,484","20 minutes ago","Monday, October 13, 2025 at 9:40 AM","","","","","","","","","","",""
"9:56 AM","[","]","Monday, October 13, 2025 at 9:56 AM","Put Sweep","AVGO","345","10/17/2025","Put","Ask","666","$752.6K","9,352","10,484","18 minutes ago","Monday, October 13, 2025 at 9:41 AM","","","","","","","","","","",""
"9:57 AM","[","]","Monday, October 13, 2025 at 9:57 AM","Call Sweep","EOSE","20","01/16/2026","Call","Above","1,999","$419.7K","2,489","16,885","18 minutes ago","Monday, October 13, 2025 at 9:42 AM","","","","","","","","","","",""
"9:58 AM","[","]","Monday, October 13, 2025 at 9:58 AM","Call Sweep","GLD","385","11/21/2025","Call","Ask","676","$490.1K","879","21,658","17 minutes ago","Monday, October 13, 2025 at 9:42 AM","","","","","","","","","","",""
"9:58 AM","[","]","Monday, October 13, 2025 at 9:58 AM","Call Sweep","ARM","200","04/17/2026","Call","Ask","312","$468K","312","626","17 minutes ago","Monday, October 13, 2025 at 9:43 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:58 AM","[","]","Monday, October 13, 2025 at 9:58 AM","Call Sweep","TSLA","430","10/17/2025","Call","Above","1,480","$1.2M","9,487","11,938","17 minutes ago","Monday, October 13, 2025 at 9:43 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"9:58 AM","[","]","Monday, October 13, 2025 at 9:58 AM","Call Sweep","GLD","385","11/21/2025","Call","Ask","1,030","$741.6K","1,909","21,658","17 minutes ago","Monday, October 13, 2025 at 9:43 AM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
