"separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"[","Wednesday, October 29, 2025 at 3:27 PM","Put Sweep","NVDA","180","03/20/2026","Put","Ask","384","$410.9K","16,314","19,429","21 hours ago","Wednesday, October 29, 2025 at 3:12 PM","3:27 PM","]"
"[","Wednesday, October 29, 2025 at 3:28 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","176","$502.5K","7,643","539","21 hours ago","Wednesday, October 29, 2025 at 3:13 PM","3:28 PM","]"
"—","Wednesday, October 29, 2025 at 3:34 PM","Unusual Call Sweep","MSTR","300","11/07/2025","Call","Ask","1,002","$425.9K","5,050","1,112","21 hours ago","Wednesday, October 29, 2025 at 3:18 PM","",""
"[","Wednesday, October 29, 2025 at 3:35 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","254","$720.1K","8,658","539","21 hours ago","Wednesday, October 29, 2025 at 3:19 PM","3:35 PM","]"
"[","Wednesday, October 29, 2025 at 3:36 PM","Call Sweep","AVGO","355","10/31/2025","Call","Ask","254","$753.1K","7,348","8,981","21 hours ago","Wednesday, October 29, 2025 at 3:20 PM","3:36 PM","]"
"[","Wednesday, October 29, 2025 at 3:36 PM","Call Sweep","AVGO","355","10/31/2025","Call","Ask","226","$670.1K","7,574","8,981","21 hours ago","Wednesday, October 29, 2025 at 3:20 PM","3:36 PM","]"
"[","Wednesday, October 29, 2025 at 3:39 PM","Put Sweep","IBIT","60","01/15/2027","Put","Ask","498","$557.8K","1,064","15,721","21 hours ago","Wednesday, October 29, 2025 at 3:23 PM","3:39 PM","]"
"[","Wednesday, October 29, 2025 at 3:39 PM","Unusual Call Sweep","WU","10","02/20/2026","Call","Above","17,522","$1.8M","29,184","7,542","21 hours ago","Wednesday, October 29, 2025 at 3:24 PM","3:39 PM","]"
"—","Wednesday, October 29, 2025 at 3:42 PM","Call Sweep","META","750","01/16/2026","Call","Ask","199","$1.1M","1,583","7,466","21 hours ago","Wednesday, October 29, 2025 at 3:27 PM","",""
"[","Wednesday, October 29, 2025 at 3:43 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Above","172","$496K","10,272","539","21 hours ago","Wednesday, October 29, 2025 at 3:28 PM","3:43 PM","]"
"[","Wednesday, October 29, 2025 at 3:43 PM","Highly Unusual Call Sweep","NVDA","210","10/31/2025","Call","Above","5,280","$2M","249,672","54,713","21 hours ago","Wednesday, October 29, 2025 at 3:28 PM","3:43 PM","]"
"[","Wednesday, October 29, 2025 at 3:44 PM","Call Sweep","NVDA","230","02/20/2026","Call","Ask","400","$506K","5,497","7,731","21 hours ago","Wednesday, October 29, 2025 at 3:28 PM","3:44 PM","]"
"[","Wednesday, October 29, 2025 at 3:45 PM","Call Sweep","PLTR","200","01/16/2026","Call","Above","420","$940.9K","5,086","19,822","21 hours ago","Wednesday, October 29, 2025 at 3:30 PM","3:45 PM","]"
"[","Wednesday, October 29, 2025 at 3:48 PM","Unusual Call Sweep","NVDA","210","10/31/2025","Call","Ask","1,704","$656K","264,417","54,713","21 hours ago","Wednesday, October 29, 2025 at 3:33 PM","3:48 PM","]"
"[","Wednesday, October 29, 2025 at 3:49 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Above","273","$784.9K","11,528","539","21 hours ago","Wednesday, October 29, 2025 at 3:34 PM","3:49 PM","]"
"—","Wednesday, October 29, 2025 at 3:51 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Above","217","$635.2K","11,885","539","20 hours ago","Wednesday, October 29, 2025 at 3:35 PM","",""
"[","Wednesday, October 29, 2025 at 3:51 PM","Call Sweep","NVDA","187.5","11/21/2025","Call","Ask","435","$1M","3,358","4,817","20 hours ago","Wednesday, October 29, 2025 at 3:35 PM","3:51 PM","]"
"[","Wednesday, October 29, 2025 at 3:51 PM","Unusual Call Sweep","NVDA","210","10/31/2025","Call","Ask","2,201","$836.4K","270,394","54,713","20 hours ago","Wednesday, October 29, 2025 at 3:36 PM","3:51 PM","]"
"[","Wednesday, October 29, 2025 at 3:51 PM","Highly Unusual Call Sweep","NVDA","210","10/31/2025","Call","Ask","6,398","$2.5M","276,793","54,713","20 hours ago","Wednesday, October 29, 2025 at 3:36 PM","3:51 PM","]"
"[","Wednesday, October 29, 2025 at 3:51 PM","Unusual Call Sweep","NVDA","210","10/31/2025","Call","Ask","3,923","$1.6M","283,628","54,713","20 hours ago","Wednesday, October 29, 2025 at 3:36 PM","3:51 PM","]"
"[","Wednesday, October 29, 2025 at 3:54 PM","Call Sweep","GOOG","270","12/19/2025","Call","Ask","236","$446K","879","5,976","20 hours ago","Wednesday, October 29, 2025 at 3:38 PM","3:54 PM","]"
"[","Wednesday, October 29, 2025 at 3:55 PM","Call Sweep","NVDA","200","11/21/2025","Call","Ask","399","$646.4K","45,839","101,102","20 hours ago","Wednesday, October 29, 2025 at 3:40 PM","3:55 PM","]"
"[","Wednesday, October 29, 2025 at 3:55 PM","Call Sweep","AVGO","355","10/31/2025","Call","Ask","468","$1.5M","8,498","8,981","20 hours ago","Wednesday, October 29, 2025 at 3:40 PM","3:55 PM","]"
"[","Wednesday, October 29, 2025 at 3:56 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","166","$481.4K","12,757","539","20 hours ago","Wednesday, October 29, 2025 at 3:41 PM","3:56 PM","]"
"[","Wednesday, October 29, 2025 at 3:58 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","166","$479.7K","13,189","539","20 hours ago","Wednesday, October 29, 2025 at 3:43 PM","3:58 PM","]"
"—","Wednesday, October 29, 2025 at 3:59 PM","Unusual Put Sweep","GOOGL","275","10/31/2025","Put","Ask","588","$558.6K","2,826","211","20 hours ago","Wednesday, October 29, 2025 at 3:44 PM","",""
"[","Wednesday, October 29, 2025 at 3:59 PM","Unusual Call Sweep","GLD","363","11/05/2025","Call","Ask","881","$431.7K","8,170","172","20 hours ago","Wednesday, October 29, 2025 at 3:44 PM","3:59 PM","]"
"[","Wednesday, October 29, 2025 at 4:00 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","166","$483.1K","13,658","539","20 hours ago","Wednesday, October 29, 2025 at 3:45 PM","4:00 PM","]"
"[","Wednesday, October 29, 2025 at 4:01 PM","Unusual Put Sweep","GOOGL","275","10/31/2025","Put","Ask","510","$464.1K","4,984","211","20 hours ago","Wednesday, October 29, 2025 at 3:46 PM","4:01 PM","]"
"[","Wednesday, October 29, 2025 at 4:01 PM","Unusual Call Sweep","MSFT","572.5","10/31/2025","Call","Above","1,300","$504.8K","2,320","728","20 hours ago","Wednesday, October 29, 2025 at 3:46 PM","4:01 PM","]"
"[","Wednesday, October 29, 2025 at 4:03 PM","Unusual Call Sweep","MSFT","572.5","10/31/2025","Call","Above","1,313","$532.5K","3,670","728","20 hours ago","Wednesday, October 29, 2025 at 3:48 PM","4:03 PM","]"
"—","Wednesday, October 29, 2025 at 4:06 PM","Call Sweep","NVDA","180","01/16/2026","Call","Ask","160","$560.8K","2,498","61,408","20 hours ago","Wednesday, October 29, 2025 at 3:48 PM","",""
"[","Wednesday, October 29, 2025 at 4:07 PM","Unusual Call Sweep","GLW","100","01/16/2026","Call","Ask","1,300","$494K","3,503","735","20 hours ago","Wednesday, October 29, 2025 at 3:49 PM","4:07 PM","]"
"[","Wednesday, October 29, 2025 at 4:07 PM","Call Sweep","NVDA","230","11/21/2025","Call","Above","1,983","$822.9K","19,765","19,320","20 hours ago","Wednesday, October 29, 2025 at 3:50 PM","4:07 PM","]"
"[","Wednesday, October 29, 2025 at 4:07 PM","Unusual Put Sweep","GOOGL","270","11/07/2025","Put","Ask","1,000","$785K","5,407","266","20 hours ago","Wednesday, October 29, 2025 at 3:51 PM","4:07 PM","]"
"[","Wednesday, October 29, 2025 at 4:07 PM","Put Sweep","GDX","78","12/19/2025","Put","Ask","1,007","$861K","1,012","2,366","20 hours ago","Wednesday, October 29, 2025 at 3:51 PM","4:07 PM","]"
"[","Wednesday, October 29, 2025 at 4:07 PM","Call Sweep","META","800","10/31/2025","Call","Above","487","$476.4K","17,895","9,244","20 hours ago","Wednesday, October 29, 2025 at 3:52 PM","4:07 PM","]"
"[","Wednesday, October 29, 2025 at 4:08 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","162","$466.6K","15,359","539","20 hours ago","Wednesday, October 29, 2025 at 3:53 PM","4:08 PM","]"
"[","Wednesday, October 29, 2025 at 4:09 PM","Call Sweep","PLTR","220","12/19/2025","Call","Ask","449","$493.9K","1,966","5,179","20 hours ago","Wednesday, October 29, 2025 at 3:54 PM","4:09 PM","]"
"[","Wednesday, October 29, 2025 at 4:09 PM","Call Sweep","PLTR","190","10/31/2025","Call","Ask","472","$472K","15,762","21,866","20 hours ago","Wednesday, October 29, 2025 at 3:54 PM","4:09 PM","]"
"[","Wednesday, October 29, 2025 at 4:10 PM","Call Sweep","SMCI","70","03/20/2026","Call","Ask","1,087","$559.8K","1,293","7,605","20 hours ago","Wednesday, October 29, 2025 at 3:54 PM","4:10 PM","]"
"[","Wednesday, October 29, 2025 at 4:10 PM","Call Sweep","AMZN","230","11/21/2025","Call","Ask","412","$453.2K","8,401","31,903","20 hours ago","Wednesday, October 29, 2025 at 3:55 PM","4:10 PM","]"
"[","Wednesday, October 29, 2025 at 4:11 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Above","162","$473.2K","16,007","539","20 hours ago","Wednesday, October 29, 2025 at 3:56 PM","4:11 PM","]"
"[","Wednesday, October 29, 2025 at 4:13 PM","Unusual Put Sweep","SFM","100","11/21/2025","Put","Above","1,252","$557.4K","2,429","538","20 hours ago","Wednesday, October 29, 2025 at 3:58 PM","4:13 PM","]"
"[","Wednesday, October 29, 2025 at 4:13 PM","Unusual Call Sweep","REAL","12.5","05/15/2026","Call","Above","1,750","$516.4K","1,751","113","20 hours ago","Wednesday, October 29, 2025 at 3:58 PM","4:13 PM","]"
"[","Wednesday, October 29, 2025 at 4:13 PM","Unusual Call Sweep","GLD","363","11/05/2025","Call","Above","2,000","$1.1M","10,198","172","20 hours ago","Wednesday, October 29, 2025 at 3:58 PM","4:13 PM","]"
"[","Wednesday, October 29, 2025 at 4:13 PM","Unusual Call Sweep","GLD","363","11/05/2025","Call","Above","2,000","$1.1M","12,198","172","20 hours ago","Wednesday, October 29, 2025 at 3:58 PM","4:13 PM","]"
"—","Wednesday, October 29, 2025 at 4:14 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","156","$457.1K","16,707","539","20 hours ago","Wednesday, October 29, 2025 at 3:59 PM","",""
"—","Thursday, October 30, 2025 at 9:46 AM","Put Sweep","META","650","10/31/2025","Put","Ask","2,434","$1.1M","4,070","6,608","3 hours ago","Thursday, October 30, 2025 at 9:31 AM","",""
"[","Thursday, October 30, 2025 at 9:46 AM","Call Sweep","AMZN","200","09/18/2026","Call","Ask","197","$932.8K","201","3,160","3 hours ago","Thursday, October 30, 2025 at 9:31 AM","9:46 AM","]"
"[","Thursday, October 30, 2025 at 9:46 AM","Call Sweep","META","720","01/16/2026","Call","Above","1,006","$2.2M","3,389","2,466","3 hours ago","Thursday, October 30, 2025 at 9:31 AM","9:46 AM","]"
"[","Thursday, October 30, 2025 at 9:47 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","1,531","$956.9K","6,543","34,739","3 hours ago","Thursday, October 30, 2025 at 9:32 AM","9:47 AM","]"
"[","Thursday, October 30, 2025 at 9:47 AM","Call Sweep","META","720","01/16/2026","Call","Above","2,002","$4.1M","5,408","2,466","3 hours ago","Thursday, October 30, 2025 at 9:32 AM","9:47 AM","]"
"[","Thursday, October 30, 2025 at 9:47 AM","Call Sweep","MSFT","545","01/16/2026","Call","Above","1,002","$1.9M","1,004","1,707","3 hours ago","Thursday, October 30, 2025 at 9:32 AM","9:47 AM","]"
"[","Thursday, October 30, 2025 at 9:48 AM","Call Sweep","NVDA","205","10/31/2025","Call","Above","2,178","$603.3K","20,642","121,008","3 hours ago","Thursday, October 30, 2025 at 9:33 AM","9:48 AM","]"
"[","Thursday, October 30, 2025 at 9:48 AM","Call Sweep","MSFT","545","01/16/2026","Call","Above","1,000","$1.9M","2,004","1,707","3 hours ago","Thursday, October 30, 2025 at 9:33 AM","9:48 AM","]"
"[","Thursday, October 30, 2025 at 9:49 AM","Call Sweep","NVDA","205","10/31/2025","Call","Above","2,129","$532.1K","31,222","121,008","3 hours ago","Thursday, October 30, 2025 at 9:33 AM","9:49 AM","]"
"[","Thursday, October 30, 2025 at 9:50 AM","Call Sweep","AMZN","200","11/21/2025","Call","Ask","200","$578K","200","3,571","2 hours ago","Thursday, October 30, 2025 at 9:34 AM","9:50 AM","]"
"[","Thursday, October 30, 2025 at 9:50 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","1,002","$576.2K","14,036","34,739","2 hours ago","Thursday, October 30, 2025 at 9:35 AM","9:50 AM","]"
"[","Thursday, October 30, 2025 at 9:50 AM","Call Sweep","ORCL","270","11/07/2025","Call","Above","651","$479.5K","789","1,206","2 hours ago","Thursday, October 30, 2025 at 9:35 AM","9:50 AM","]"
"[","Thursday, October 30, 2025 at 9:51 AM","Call Sweep","NVDA","205","10/31/2025","Call","Above","2,879","$526.6K","73,526","121,008","2 hours ago","Thursday, October 30, 2025 at 9:36 AM","9:51 AM","]"
"[","Thursday, October 30, 2025 at 9:51 AM","Put Sweep","META","640","10/31/2025","Put","Above","2,003","$641K","3,471","2,424","2 hours ago","Thursday, October 30, 2025 at 9:36 AM","9:51 AM","]"
"[","Thursday, October 30, 2025 at 9:51 AM","Put Sweep","AMZN","220","01/16/2026","Put","Ask","500","$572.5K","1,037","14,287","2 hours ago","Thursday, October 30, 2025 at 9:36 AM","9:51 AM","]"
"[","Thursday, October 30, 2025 at 9:51 AM","Put Sweep","BYND","2.5","10/31/2025","Put","Ask","12,154","$996.6K","12,750","28,421","2 hours ago","Thursday, October 30, 2025 at 9:36 AM","9:51 AM","]"
"[","Thursday, October 30, 2025 at 9:52 AM","Put Sweep","META","680","11/21/2025","Put","Ask","151","$530K","334","2,630","2 hours ago","Thursday, October 30, 2025 at 9:37 AM","9:52 AM","]"
"[","Thursday, October 30, 2025 at 9:52 AM","Call Sweep","AMD","240","11/21/2025","Call","Ask","200","$566K","205","5,561","2 hours ago","Thursday, October 30, 2025 at 9:37 AM","9:52 AM","]"
"[","Thursday, October 30, 2025 at 9:52 AM","Put Sweep","ORCL","230","12/19/2025","Put","Ask","754","$603.2K","762","4,199","2 hours ago","Thursday, October 30, 2025 at 9:37 AM","9:52 AM","]"
"[","Thursday, October 30, 2025 at 9:53 AM","Put Sweep","PLTR","180","12/19/2025","Put","Ask","634","$691.1K","3,275","7,608","2 hours ago","Thursday, October 30, 2025 at 9:37 AM","9:53 AM","]"
"—","Thursday, October 30, 2025 at 9:58 AM","Call Sweep","NVDA","205","10/31/2025","Call","Above","2,166","$413.8K","125,038","121,008","2 hours ago","Thursday, October 30, 2025 at 9:42 AM","",""
"[","Thursday, October 30, 2025 at 9:58 AM","Call Sweep","NVDA","205","10/31/2025","Call","Above","4,097","$791.2K","133,191","121,008","2 hours ago","Thursday, October 30, 2025 at 9:43 AM","9:58 AM","]"
"[","Thursday, October 30, 2025 at 9:58 AM","Call Sweep","AVGO","390","12/19/2025","Call","Ask","262","$602.6K","695","7,001","2 hours ago","Thursday, October 30, 2025 at 9:43 AM","9:58 AM","]"
"[","Thursday, October 30, 2025 at 9:59 AM","Call Sweep","AVGO","380","10/31/2025","Call","Ask","1,348","$458.3K","6,971","20,234","2 hours ago","Thursday, October 30, 2025 at 9:44 AM","9:59 AM","]"
"[","Thursday, October 30, 2025 at 10:01 AM","Call Sweep","AVGO","380","10/31/2025","Call","Ask","1,368","$485.6K","8,385","20,234","2 hours ago","Thursday, October 30, 2025 at 9:46 AM","10:01 AM","]"
"[","Thursday, October 30, 2025 at 10:02 AM","Call Sweep","AAPL","270","10/31/2025","Call","Ask","2,569","$1.4M","5,424","22,983","2 hours ago","Thursday, October 30, 2025 at 9:47 AM","10:02 AM","]"
"[","Thursday, October 30, 2025 at 10:03 AM","Call Sweep","GLD","363","11/05/2025","Call","Above","832","$524.2K","3,511","6,623","2 hours ago","Thursday, October 30, 2025 at 9:47 AM","10:03 AM","]"
"[","Thursday, October 30, 2025 at 10:03 AM","Put Sweep","AMD","260","10/31/2025","Put","Ask","1,000","$400K","2,792","7,159","2 hours ago","Thursday, October 30, 2025 at 9:48 AM","10:03 AM","]"
"[","Thursday, October 30, 2025 at 10:04 AM","Call Sweep","NVDA","210","11/21/2025","Call","Ask","629","$490.6K","4,297","65,632","2 hours ago","Thursday, October 30, 2025 at 9:49 AM","10:04 AM","]"
"[","Thursday, October 30, 2025 at 10:04 AM","Call Sweep","AVGO","377.5","10/31/2025","Call","Ask","813","$406.5K","2,028","1,758","2 hours ago","Thursday, October 30, 2025 at 9:49 AM","10:04 AM","]"
"[","Thursday, October 30, 2025 at 10:05 AM","Call Sweep","META","750","01/16/2026","Call","Ask","254","$442K","1,724","7,508","2 hours ago","Thursday, October 30, 2025 at 9:49 AM","10:05 AM","]"
"—","Thursday, October 30, 2025 at 10:05 AM","Unusual Call Sweep","IBIT","61","05/15/2026","Call","Ask","650","$643.5K","652","110","2 hours ago","Thursday, October 30, 2025 at 9:49 AM","",""
"[","Thursday, October 30, 2025 at 10:05 AM","Call Sweep","MRVL","75","12/19/2025","Call","Ask","300","$537K","503","13,278","2 hours ago","Thursday, October 30, 2025 at 9:50 AM","10:05 AM","]"
"[","Thursday, October 30, 2025 at 10:08 AM","Call Sweep","NVDA","200","10/31/2025","Call","Ask","922","$516.3K","12,457","145,411","2 hours ago","Thursday, October 30, 2025 at 9:52 AM","10:08 AM","]"
"[","Thursday, October 30, 2025 at 10:09 AM","Put Sweep","AMZN","225","02/20/2026","Put","Ask","400","$662K","608","2,722","2 hours ago","Thursday, October 30, 2025 at 9:54 AM","10:09 AM","]"
"[","Thursday, October 30, 2025 at 10:09 AM","Call Sweep","NVDA","200","10/31/2025","Call","Above","1,159","$654.9K","14,138","145,411","2 hours ago","Thursday, October 30, 2025 at 9:54 AM","10:09 AM","]"
"[","Thursday, October 30, 2025 at 10:10 AM","Call Sweep","META","750","01/16/2026","Call","Above","503","$905.4K","2,909","7,508","2 hours ago","Thursday, October 30, 2025 at 9:55 AM","10:10 AM","]"
"[","Thursday, October 30, 2025 at 10:10 AM","Call Sweep","TSLL","31","01/21/2028","Call","Above","676","$684.5K","987","2,689","2 hours ago","Thursday, October 30, 2025 at 9:55 AM","10:10 AM","]"
"[","Thursday, October 30, 2025 at 10:11 AM","Call Sweep","TSLL","31","01/21/2028","Call","Above","989","$983K","1,976","2,689","2 hours ago","Thursday, October 30, 2025 at 9:55 AM","10:11 AM","]"
"—","Thursday, October 30, 2025 at 10:12 AM","Call Sweep","AVGO","380","10/31/2025","Call","Ask","1,322","$661K","12,713","20,234","2 hours ago","Thursday, October 30, 2025 at 9:57 AM","",""
"[","Thursday, October 30, 2025 at 10:13 AM","Call Sweep","AAPL","300","03/20/2026","Call","Ask","539","$425.8K","1,208","11,382","2 hours ago","Thursday, October 30, 2025 at 9:58 AM","10:13 AM","]"
"[","Thursday, October 30, 2025 at 10:17 AM","Call Sweep","NVDA","200","10/31/2025","Call","Ask","1,091","$627.3K","16,966","145,411","2 hours ago","Thursday, October 30, 2025 at 10:02 AM","10:17 AM","]"
"[","Thursday, October 30, 2025 at 10:17 AM","Call Sweep","AVGO","380","10/31/2025","Call","Ask","1,313","$682.8K","14,195","20,234","2 hours ago","Thursday, October 30, 2025 at 10:02 AM","10:17 AM","]"
"[","Thursday, October 30, 2025 at 10:17 AM","Unusual Call Sweep","META","685","11/21/2025","Call","Above","276","$502.8K","2,016","218","2 hours ago","Thursday, October 30, 2025 at 10:02 AM","10:17 AM","]"
