"separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","loadingOverlay_af017a src","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"[","Wednesday, October 8, 2025 at 3:44 PM","Put Sweep","NVDA","170","03/20/2026","Put","Ask","379","$447.2K","1,295","19,890","a day ago","Wednesday, October 8, 2025 at 3:29 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:44 PM","]"
"—","Wednesday, October 8, 2025 at 3:55 PM","Unusual Put Sweep","GLD","370","10/17/2025","Put","Ask","999","$409.6K","6,370","311","a day ago","Wednesday, October 8, 2025 at 3:40 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 3:59 PM","Call Sweep","ARM","210","09/18/2026","Call","Ask","250","$612.5K","260","179","a day ago","Wednesday, October 8, 2025 at 3:44 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:59 PM","]"
"—","Wednesday, October 8, 2025 at 4:02 PM","Unusual Call Sweep","GLD","375","10/31/2025","Call","Ask","1,706","$1.1M","3,845","875","a day ago","Wednesday, October 8, 2025 at 3:47 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 4:03 PM","Unusual Call Sweep","GLD","374","10/17/2025","Call","Ask","2,427","$1M","3,160","541","a day ago","Wednesday, October 8, 2025 at 3:48 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:03 PM","]"
"[","Wednesday, October 8, 2025 at 4:04 PM","Unusual Call Sweep","ONDS","14","01/16/2026","Call","Ask","1,616","$412.1K","26,892","721","a day ago","Wednesday, October 8, 2025 at 3:48 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:04 PM","]"
"[","Wednesday, October 8, 2025 at 4:04 PM","Unusual Call Sweep","GLD","375","10/15/2025","Call","Ask","2,500","$787.5K","3,792","215","a day ago","Wednesday, October 8, 2025 at 3:48 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:04 PM","]"
"[","Wednesday, October 8, 2025 at 4:05 PM","Call Sweep","RKLB","47","10/24/2025","Call","Ask","300","$577.5K","314","538","a day ago","Wednesday, October 8, 2025 at 3:50 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:05 PM","]"
"[","Wednesday, October 8, 2025 at 4:05 PM","Call Sweep","GLD","370","10/31/2025","Call","Above","2,000","$1.9M","4,335","1,666","a day ago","Wednesday, October 8, 2025 at 3:50 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:05 PM","]"
"[","Wednesday, October 8, 2025 at 4:06 PM","Unusual Put Sweep","NNE","48","10/17/2025","Put","Ask","1,099","$494.5K","6,211","37","a day ago","Wednesday, October 8, 2025 at 3:51 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:06 PM","]"
"[","Wednesday, October 8, 2025 at 4:09 PM","Unusual Call Sweep","GLD","380","10/31/2025","Call","Ask","1,500","$787.5K","9,139","2,722","a day ago","Wednesday, October 8, 2025 at 3:54 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:09 PM","]"
"[","Wednesday, October 8, 2025 at 4:09 PM","Unusual Call Sweep","GLD","373","10/22/2025","Call","Ask","1,916","$1.2M","11,068","76","a day ago","Wednesday, October 8, 2025 at 3:54 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:09 PM","]"
"[","Wednesday, October 8, 2025 at 4:09 PM","Call Sweep","NVDA","200","01/16/2026","Call","Ask","396","$489.1K","5,852","70,930","a day ago","Wednesday, October 8, 2025 at 3:54 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:09 PM","]"
"—","Wednesday, October 8, 2025 at 4:10 PM","Put Sweep","PLTR","170","11/21/2025","Put","Ask","432","$410.4K","2,143","6,836","a day ago","Wednesday, October 8, 2025 at 3:55 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 4:10 PM","Call Sweep","GOOGL","260","11/21/2025","Call","Ask","882","$621.8K","3,995","15,759","a day ago","Wednesday, October 8, 2025 at 3:55 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:10 PM","]"
"[","Wednesday, October 8, 2025 at 4:12 PM","Call Sweep","GOOGL","260","11/21/2025","Call","Ask","1,428","$1M","5,996","15,759","a day ago","Wednesday, October 8, 2025 at 3:56 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:12 PM","]"
"[","Wednesday, October 8, 2025 at 4:12 PM","Put Sweep","AAPL","265","10/17/2025","Put","Ask","1,000","$795K","1,893","1,314","a day ago","Wednesday, October 8, 2025 at 3:57 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:12 PM","]"
"[","Wednesday, October 8, 2025 at 4:12 PM","Unusual Put Sweep","NNE","48","10/17/2025","Put","Ask","1,611","$837.7K","10,193","37","a day ago","Wednesday, October 8, 2025 at 3:57 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:12 PM","]"
"[","Wednesday, October 8, 2025 at 4:14 PM","Call Sweep","NVDA","175","10/31/2025","Call","Ask","359","$617.5K","868","6,228","a day ago","Wednesday, October 8, 2025 at 3:59 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","4:14 PM","]"
"—","Thursday, October 9, 2025 at 9:45 AM","Call Sweep","INTC","55","12/18/2026","Call","Ask","833","$416.5K","837","40,085","13 hours ago","Thursday, October 9, 2025 at 9:30 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Thursday, October 9, 2025 at 9:46 AM","Call Sweep","AMD","240","10/10/2025","Call","Above","1,128","$554.5K","2,917","28,309","13 hours ago","Thursday, October 9, 2025 at 9:31 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:46 AM","]"
"[","Thursday, October 9, 2025 at 9:46 AM","Call Sweep","COST","930","10/10/2025","Call","Ask","404","$404K","602","1,711","13 hours ago","Thursday, October 9, 2025 at 9:31 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:46 AM","]"
"[","Thursday, October 9, 2025 at 9:47 AM","Call Sweep","GLD","380","11/21/2025","Call","Ask","1,330","$1M","2,672","84,781","13 hours ago","Thursday, October 9, 2025 at 9:31 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:47 AM","]"
"[","Thursday, October 9, 2025 at 9:48 AM","Call Sweep","NVDA","185","11/07/2025","Call","Ask","500","$652.5K","2,205","8,249","13 hours ago","Thursday, October 9, 2025 at 9:33 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:48 AM","]"
"[","Thursday, October 9, 2025 at 9:50 AM","Call Sweep","JPM","305","10/17/2025","Call","Ask","742","$608.4K","2,261","3,379","13 hours ago","Thursday, October 9, 2025 at 9:35 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:50 AM","]"
"—","Thursday, October 9, 2025 at 9:54 AM","Call Sweep","TSLA","520","11/21/2025","Call","Ask","549","$636.8K","568","3,673","13 hours ago","Thursday, October 9, 2025 at 9:39 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Thursday, October 9, 2025 at 9:55 AM","Call Sweep","SLV","48","02/20/2026","Call","Ask","2,001","$500.2K","2,045","2,067","13 hours ago","Thursday, October 9, 2025 at 9:40 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:55 AM","]"
"[","Thursday, October 9, 2025 at 9:56 AM","Call Sweep","NVDA","195","11/21/2025","Call","Ask","406","$442.5K","1,542","29,345","13 hours ago","Thursday, October 9, 2025 at 9:41 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:56 AM","]"
"[","Thursday, October 9, 2025 at 9:58 AM","Call Sweep","GDX","65","12/19/2025","Call","Ask","353","$526K","957","12,270","13 hours ago","Thursday, October 9, 2025 at 9:42 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:58 AM","]"
"[","Thursday, October 9, 2025 at 9:58 AM","Call Sweep","TSLA","430","11/21/2025","Call","Ask","150","$525K","258","4,843","13 hours ago","Thursday, October 9, 2025 at 9:43 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","9:58 AM","]"
"[","Thursday, October 9, 2025 at 10:01 AM","Put Sweep","SILJ","22","11/21/2025","Put","Ask","7,504","$487.8K","7,504","7,275","13 hours ago","Thursday, October 9, 2025 at 9:45 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:01 AM","]"
"[","Thursday, October 9, 2025 at 10:01 AM","Put Sweep","META","720","10/10/2025","Put","Above","520","$519.7K","1,198","1,881","13 hours ago","Thursday, October 9, 2025 at 9:46 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:01 AM","]"
"—","Thursday, October 9, 2025 at 10:01 AM","Call Sweep","RGTI","35","01/16/2026","Call","Ask","500","$850K","1,008","3,577","13 hours ago","Thursday, October 9, 2025 at 9:46 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Thursday, October 9, 2025 at 10:02 AM","Call Sweep","NVDA","185","12/19/2025","Call","Ask","220","$438.9K","742","31,128","13 hours ago","Thursday, October 9, 2025 at 9:47 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:02 AM","]"
"[","Thursday, October 9, 2025 at 10:02 AM","Put Sweep","PLTR","170","11/21/2025","Put","Ask","439","$458.8K","978","6,957","13 hours ago","Thursday, October 9, 2025 at 9:47 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:02 AM","]"
"[","Thursday, October 9, 2025 at 10:03 AM","Put Sweep","TSM","300","12/19/2025","Put","Above","364","$817.2K","3,426","1,882","13 hours ago","Thursday, October 9, 2025 at 9:48 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:03 AM","]"
"[","Thursday, October 9, 2025 at 10:03 AM","Put Sweep","TSM","300","12/19/2025","Put","Above","304","$685.9K","3,760","1,882","13 hours ago","Thursday, October 9, 2025 at 9:48 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:03 AM","]"
"[","Thursday, October 9, 2025 at 10:03 AM","Call Sweep","IREN","70","01/16/2026","Call","Ask","300","$429K","1,640","8,857","13 hours ago","Thursday, October 9, 2025 at 9:48 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:03 AM","]"
"[","Thursday, October 9, 2025 at 10:04 AM","Put Sweep","PLTR","185","12/19/2025","Put","Ask","200","$406K","202","1,522","13 hours ago","Thursday, October 9, 2025 at 9:49 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:04 AM","]"
"[","Thursday, October 9, 2025 at 10:04 AM","Unusual Call Sweep","GLD","371","10/22/2025","Call","Ask","950","$536.8K","1,956","180","13 hours ago","Thursday, October 9, 2025 at 9:49 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:04 AM","]"
"[","Thursday, October 9, 2025 at 10:05 AM","Call Sweep","SMH","350","10/17/2025","Call","Ask","759","$440.2K","909","2,182","13 hours ago","Thursday, October 9, 2025 at 9:50 AM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","10:05 AM","]"
