"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"","","","","[","Monday, October 27, 2025 at 4:05 PM","Call Sweep","AMD","350","06/18/2026","Call","Ask","656","$1.6M","3,762","12,689","a day ago","Monday, October 27, 2025 at 3:50 PM","4:05 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 4:07 PM","—","Monday, October 27, 2025 at 4:07 PM","Call Sweep","AMD","300","01/16/2026","Call","Ask","320","$502.4K","5,689","16,126","a day ago","Monday, October 27, 2025 at 3:52 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 4:08 PM","Call Sweep","NVDA","210","12/19/2025","Call","Above","1,706","$1.1M","20,170","36,842","a day ago","Monday, October 27, 2025 at 3:53 PM","4:08 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 4:08 PM","Call Sweep","NVDA","210","12/19/2025","Call","Ask","1,655","$1.1M","23,134","36,842","a day ago","Monday, October 27, 2025 at 3:53 PM","4:08 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 4:08 PM","Unusual Call Sweep","TSLA","470","10/31/2025","Call","Above","1,058","$493.4K","64,401","18,101","a day ago","Monday, October 27, 2025 at 3:53 PM","4:08 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 4:11 PM","Put Sweep","NVDA","200","03/20/2026","Put","Ask","466","$1.1M","1,387","5,476","a day ago","Monday, October 27, 2025 at 3:56 PM","4:11 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 4:13 PM","Put Sweep","UNH","380","11/21/2025","Put","Ask","230","$522.1K","248","456","a day ago","Monday, October 27, 2025 at 3:58 PM","4:13 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Monday, October 27, 2025 at 4:13 PM","Call Sweep","NVDA","180","11/28/2025","Call","Ask","1,000","$1.8M","2,315","5,148","a day ago","Monday, October 27, 2025 at 3:58 PM","4:13 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 4:13 PM","Unusual Call Sweep","NVDA","192.5","10/31/2025","Call","Above","1,172","$487.5K","146,728","39,059","a day ago","Monday, October 27, 2025 at 3:58 PM","4:13 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 4:14 PM","—","Monday, October 27, 2025 at 4:14 PM","Call Sweep","ORCL","280","01/16/2026","Call","Above","471","$1.3M","969","5,053","a day ago","Monday, October 27, 2025 at 3:59 PM","","","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:47 AM","—","Tuesday, October 28, 2025 at 9:47 AM","Call Sweep","MSFT","550","10/31/2025","Call","Ask","298","$402.3K","943","12,015","5 hours ago","Tuesday, October 28, 2025 at 9:31 AM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 9:49 AM","Call Sweep","MSFT","555","11/21/2025","Call","Above","2,407","$3.6M","2,572","4,279","5 hours ago","Tuesday, October 28, 2025 at 9:33 AM","9:49 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:49 AM","Call Sweep","COIN","370","11/21/2025","Call","Above","301","$747.2K","2,289","7,660","5 hours ago","Tuesday, October 28, 2025 at 9:34 AM","9:49 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:49 AM","Call Sweep","NVDA","180","11/21/2025","Call","Ask","366","$732K","920","142,196","5 hours ago","Tuesday, October 28, 2025 at 9:34 AM","9:49 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:49 AM","Call Sweep","NVDA","220","01/16/2026","Call","Ask","899","$696.7K","1,166","28,628","5 hours ago","Tuesday, October 28, 2025 at 9:34 AM","9:49 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:50 AM","Call Sweep","GLXY","45","01/16/2026","Call","Ask","2,499","$1.2M","2,528","9,993","5 hours ago","Tuesday, October 28, 2025 at 9:34 AM","9:50 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:51 AM","Call Sweep","PLTR","190","11/07/2025","Call","Ask","399","$446.9K","716","3,798","5 hours ago","Tuesday, October 28, 2025 at 9:35 AM","9:51 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 9:51 AM","Call Sweep","AAPL","262.5","10/31/2025","Call","Above","578","$520.2K","6,000","20,571","5 hours ago","Tuesday, October 28, 2025 at 9:36 AM","9:51 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:52 AM","Call Sweep","CCJ","75","01/16/2026","Call","Ask","500","$1.6M","505","2,288","5 hours ago","Tuesday, October 28, 2025 at 9:36 AM","9:52 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:53 AM","Call Sweep","AMZN","250","12/19/2025","Call","Ask","948","$488.2K","1,069","33,013","5 hours ago","Tuesday, October 28, 2025 at 9:37 AM","9:53 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:53 AM","Call Sweep","BABA","175","11/07/2025","Call","Ask","634","$443.8K","6,339","21,796","5 hours ago","Tuesday, October 28, 2025 at 9:37 AM","9:53 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:55 AM","—","Tuesday, October 28, 2025 at 9:55 AM","Call Sweep","TSLA","470","11/07/2025","Call","Above","673","$852.1K","1,752","3,676","5 hours ago","Tuesday, October 28, 2025 at 9:40 AM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 9:55 AM","Call Sweep","TSLA","600","01/16/2026","Call","Above","931","$1.2M","1,399","29,677","5 hours ago","Tuesday, October 28, 2025 at 9:40 AM","9:55 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 9:57 AM","Call Sweep","AMD","260","11/21/2025","Call","Above","229","$453.1K","568","10,651","5 hours ago","Tuesday, October 28, 2025 at 9:42 AM","9:57 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:57 AM","Call Sweep","TSLA","500","11/07/2025","Call","Ask","779","$451.8K","3,212","9,295","5 hours ago","Tuesday, October 28, 2025 at 9:42 AM","9:57 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:59 AM","Call Sweep","MSFT","570","12/19/2025","Call","Ask","491","$633.4K","568","5,647","5 hours ago","Tuesday, October 28, 2025 at 9:44 AM","9:59 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 9:59 AM","Call Sweep","AMD","300","01/16/2026","Call","Ask","484","$793.8K","947","16,113","5 hours ago","Tuesday, October 28, 2025 at 9:44 AM","9:59 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:00 AM","Put Sweep","NVDA","183","12/19/2025","Put","Ask","1,499","$1.2M","1,530","1,622","5 hours ago","Tuesday, October 28, 2025 at 9:45 AM","10:00 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 10:01 AM","Call Sweep","MSFT","555","11/21/2025","Call","Ask","300","$414K","3,936","4,279","5 hours ago","Tuesday, October 28, 2025 at 9:45 AM","10:01 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:01 AM","Call Sweep","TSLA","445","11/21/2025","Call","Ask","151","$514.9K","236","6,038","5 hours ago","Tuesday, October 28, 2025 at 9:45 AM","10:01 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:02 AM","—","Tuesday, October 28, 2025 at 10:02 AM","Call Sweep","GLD","395","01/16/2026","Call","Ask","1,584","$704.9K","2,004","16,517","5 hours ago","Tuesday, October 28, 2025 at 9:47 AM","","","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:04 AM","Put Sweep","TSLA","450","11/07/2025","Put","Above","1,071","$1.5M","1,610","3,581","5 hours ago","Tuesday, October 28, 2025 at 9:48 AM","10:04 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:08 AM","Call Sweep","MSFT","555","11/21/2025","Call","Above","838","$1.3M","3,769","4,279","5 hours ago","Tuesday, October 28, 2025 at 9:53 AM","10:08 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 10:08 AM","Call Sweep","MSFT","555","11/21/2025","Call","Ask","316","$474K","4,094","4,279","5 hours ago","Tuesday, October 28, 2025 at 9:53 AM","10:08 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:11 AM","—","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","AVGO","370","11/07/2025","Call","Ask","515","$571.6K","1,011","1,006","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","","","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","INTC","39","10/31/2025","Call","Ask","2,216","$458.7K","3,630","9,961","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","AAPL","255","10/31/2025","Call","Ask","451","$674.2K","537","5,717","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","GOOG","270","10/31/2025","Call","Ask","701","$567.8K","1,724","4,410","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","NVDA","185","11/14/2025","Call","Above","4,984","$6.3M","41,188","64,975","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","AAPL","267.5","11/07/2025","Call","Ask","1,022","$725.6K","25,233","27,473","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","NVDA","184","01/16/2026","Call","Ask","199","$432.8K","246","3,539","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","NVDA","260","01/15/2027","Call","Ask","1,726","$3.3M","1,728","14,615","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:11 AM","Call Sweep","NVDA","260","01/15/2027","Call","Ask","295","$560.5K","2,023","14,615","5 hours ago","Tuesday, October 28, 2025 at 9:56 AM","10:11 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 10:13 AM","Call Sweep","TSLA","475","11/07/2025","Call","Above","401","$456.3K","1,314","2,652","5 hours ago","Tuesday, October 28, 2025 at 9:58 AM","10:13 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:15 AM","Put Sweep","WDC","125","10/31/2025","Put","Ask","856","$599.2K","867","994","5 hours ago","Tuesday, October 28, 2025 at 10:00 AM","10:15 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:18 AM","—","Tuesday, October 28, 2025 at 10:18 AM","Call Sweep","CHAT","66","06/18/2026","Call","Ask","500","$435K","1,170","0","5 hours ago","Tuesday, October 28, 2025 at 10:03 AM","","","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:20 AM","Call Sweep","TSLA","460","10/31/2025","Call","Above","1,679","$1.9M","30,824","16,067","5 hours ago","Tuesday, October 28, 2025 at 10:05 AM","10:20 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:21 AM","Call Sweep","NVDA","175","11/21/2025","Call","Ask","236","$529.8K","546","25,855","5 hours ago","Tuesday, October 28, 2025 at 10:05 AM","10:21 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 28, 2025 at 10:21 AM","Call Sweep","QCOM","170","11/07/2025","Call","Ask","450","$670.5K","506","1,272","4 hours ago","Tuesday, October 28, 2025 at 10:06 AM","10:21 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:21 AM","Call Sweep","AMD","280","12/19/2025","Call","Ask","252","$477.5K","665","3,514","4 hours ago","Tuesday, October 28, 2025 at 10:06 AM","10:21 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:22 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","1,023","$1M","3,243","6,794","4 hours ago","Tuesday, October 28, 2025 at 10:07 AM","10:22 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:24 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","482","$491.6K","5,278","6,794","4 hours ago","Tuesday, October 28, 2025 at 10:09 AM","10:24 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:25 AM","Call Sweep","TSLA","460","10/31/2025","Call","Above","354","$423.7K","36,556","16,067","4 hours ago","Tuesday, October 28, 2025 at 10:09 AM","10:25 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:27 AM","—","Tuesday, October 28, 2025 at 10:27 AM","Call Sweep","TSLA","500","11/14/2025","Call","Above","1,025","$1.1M","10,076","6,794","4 hours ago","Tuesday, October 28, 2025 at 10:11 AM","","","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:27 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","1,014","$1.1M","12,107","6,794","4 hours ago","Tuesday, October 28, 2025 at 10:12 AM","10:27 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:28 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","1,014","$1.1M","13,158","6,794","4 hours ago","Tuesday, October 28, 2025 at 10:12 AM","10:28 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:28 AM","Call Sweep","TSLA","500","01/16/2026","Call","Above","449","$1.6M","1,565","41,317","4 hours ago","Tuesday, October 28, 2025 at 10:12 AM","10:28 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:29 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","1,026","$1.1M","15,322","6,794","4 hours ago","Tuesday, October 28, 2025 at 10:13 AM","10:29 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:29 AM","Put Sweep","AMD","240","09/18/2026","Put","Ask","204","$794.6K","204","362","4 hours ago","Tuesday, October 28, 2025 at 10:14 AM","10:29 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:30 AM","Call Sweep","TSLA","500","11/14/2025","Call","Ask","597","$632.8K","16,021","6,794","4 hours ago","Tuesday, October 28, 2025 at 10:14 AM","10:30 AM","]","","","","","","",""
"","","","","[","Tuesday, October 28, 2025 at 10:32 AM","Put Sweep","NVDA","195","06/18/2026","Put","Ask","191","$479.4K","250","601","4 hours ago","Tuesday, October 28, 2025 at 10:17 AM","10:32 AM","]","","","","","","",""
