"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"","","","","[","Friday, October 10, 2025 at 2:23 PM","Put Sweep","TLT","92","12/19/2025","Put","Ask","1,554","$481.7K","1,561","1,418","Friday, October 10, 2025 at 2:08 PM","2:23 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 2:28 PM","Put Sweep","NVDA","170","11/21/2025","Put","Ask","780","$432.9K","6,141","43,533","Friday, October 10, 2025 at 2:12 PM","2:28 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 2:28 PM","Call Sweep","SLV","46","03/20/2026","Call","Ask","1,500","$480K","1,656","10,991","Friday, October 10, 2025 at 2:13 PM","2:28 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 2:28 PM","Call Sweep","AAPL","220","12/19/2025","Call","Ask","501","$1.6M","727","18,768","Friday, October 10, 2025 at 2:13 PM","2:28 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:35 PM","—","Friday, October 10, 2025 at 2:35 PM","Call Sweep","NVDA","223","01/16/2026","Call","Ask","922","$497.9K","1,045","1,321","Friday, October 10, 2025 at 2:20 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 2:37 PM","Put Sweep","FUTU","110","05/15/2026","Put","Ask","595","$413.5K","680","0","Friday, October 10, 2025 at 2:21 PM","2:37 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 2:38 PM","Call Sweep","NVDA","225","01/16/2026","Call","Ask","999","$514.5K","6,123","11,964","Friday, October 10, 2025 at 2:22 PM","2:38 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 2:39 PM","Put Sweep","TSM","285","10/17/2025","Put","Ask","447","$411.2K","3,249","1,145","Friday, October 10, 2025 at 2:24 PM","2:39 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:46 PM","—","Friday, October 10, 2025 at 2:46 PM","Highly Unusual Put Sweep","ETHA","30","10/24/2025","Put","Above","5,020","$667.1K","10,334","989","Friday, October 10, 2025 at 2:31 PM","","","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:55 PM","—","Friday, October 10, 2025 at 2:55 PM","Call Sweep","CRDO","170","01/15/2027","Call","Ask","150","$687K","151","54","Friday, October 10, 2025 at 2:40 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 2:55 PM","Put Sweep","AAPL","250","10/31/2025","Put","Ask","440","$402.6K","2,224","3,162","Friday, October 10, 2025 at 2:40 PM","2:55 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:04 PM","—","Friday, October 10, 2025 at 3:04 PM","Call Sweep","AMZN","235","12/19/2025","Call","Ask","1,000","$845K","4,272","36,635","Friday, October 10, 2025 at 2:48 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:04 PM","Call Sweep","AMZN","235","12/19/2025","Call","Above","1,000","$846K","5,362","36,635","Friday, October 10, 2025 at 2:49 PM","3:04 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:06 PM","Put Sweep","ARKK","85","11/21/2025","Put","Above","4,051","$2.3M","4,611","14,460","Friday, October 10, 2025 at 2:51 PM","3:06 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:09 PM","Unusual Call Sweep","TSLA","425","10/17/2025","Call","Ask","653","$597.5K","14,476","3,811","Friday, October 10, 2025 at 2:53 PM","3:09 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:09 PM","Put Sweep","TSLA","340","01/16/2026","Put","Ask","501","$834.2K","1,172","4,877","Friday, October 10, 2025 at 2:53 PM","3:09 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:09 PM","Put Sweep","TSLA","380","11/21/2025","Put","Ask","488","$846.7K","1,038","6,260","Friday, October 10, 2025 at 2:54 PM","3:09 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:09 PM","Call Sweep","TSLA","430","01/16/2026","Call","Ask","161","$726.9K","3,370","4,648","Friday, October 10, 2025 at 2:54 PM","3:09 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:19 PM","—","Friday, October 10, 2025 at 3:19 PM","Put Sweep","PLTR","170","01/16/2026","Put","Ask","331","$571K","949","3,561","Friday, October 10, 2025 at 3:04 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:19 PM","Put Sweep","TSLA","420","10/17/2025","Put","Ask","300","$408K","25,046","11,726","Friday, October 10, 2025 at 3:04 PM","3:19 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:21 PM","Call Sweep","NVDA","230","12/19/2025","Call","Above","2,000","$514.2K","8,118","42,274","Friday, October 10, 2025 at 3:06 PM","3:21 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:24 PM","Call Sweep","UNH","320","10/17/2025","Call","Ask","225","$842.6K","300","6,976","Friday, October 10, 2025 at 3:09 PM","3:24 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:27 PM","—","Friday, October 10, 2025 at 3:27 PM","Put Sweep","META","700","11/21/2025","Put","Above","251","$901K","1,128","4,348","Friday, October 10, 2025 at 3:12 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:29 PM","Unusual Call Sweep","TSLA","420","10/17/2025","Call","Ask","533","$589K","30,172","6,148","Friday, October 10, 2025 at 3:14 PM","3:29 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:31 PM","Put Sweep","TSLA","380","10/24/2025","Put","Ask","500","$410K","2,140","4,464","Friday, October 10, 2025 at 3:16 PM","3:31 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:32 PM","Unusual Put Sweep","TSLA","315","10/17/2025","Put","Above","15,000","$704K","15,957","3,582","Friday, October 10, 2025 at 3:16 PM","3:32 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:33 PM","Call Sweep","TSLA","860","08/21/2026","Call","Ask","224","$425.6K","225","90","Friday, October 10, 2025 at 3:18 PM","3:33 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:33 PM","Call Sweep","UNH","400","12/17/2027","Call","Ask","244","$1.5M","1,278","6,736","Friday, October 10, 2025 at 3:18 PM","3:33 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:34 PM","Call Sweep","UNH","400","12/17/2027","Call","Ask","159","$954K","1,717","6,736","Friday, October 10, 2025 at 3:19 PM","3:34 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:34 PM","Put Sweep","MSTR","220","10/17/2025","Put","Above","3,700","$462.5K","6,202","9,570","Friday, October 10, 2025 at 3:19 PM","3:34 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:37 PM","—","Friday, October 10, 2025 at 3:37 PM","Call Sweep","UNH","310","01/15/2027","Call","Ask","241","$2M","314","1,682","Friday, October 10, 2025 at 3:22 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:38 PM","Call Sweep","IBIT","68","11/21/2025","Call","Ask","2,000","$660K","3,304","18,213","Friday, October 10, 2025 at 3:22 PM","3:38 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:39 PM","Call Sweep","BIIB","150","01/21/2028","Call","Ask","319","$1.2M","330","112","Friday, October 10, 2025 at 3:24 PM","3:39 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:41 PM","Call Sweep","UNH","320","10/17/2025","Call","Ask","200","$725K","502","6,976","Friday, October 10, 2025 at 3:26 PM","3:41 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:42 PM","Unusual Put Sweep","QLD","130","01/16/2026","Put","Above","1,301","$1.2M","1,681","25","Friday, October 10, 2025 at 3:27 PM","3:42 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:42 PM","Put Sweep","NVDA","150","01/16/2026","Put","Above","2,499","$1.2M","3,754","68,736","Friday, October 10, 2025 at 3:27 PM","3:42 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:42 PM","Put Sweep","NVDA","150","01/16/2026","Put","Ask","2,500","$1.2M","6,254","68,736","Friday, October 10, 2025 at 3:27 PM","3:42 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:43 PM","Call Sweep","UNH","420","12/17/2027","Call","Above","448","$2.4M","695","3,090","Friday, October 10, 2025 at 3:27 PM","3:43 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:43 PM","Put Sweep","NVDA","150","01/16/2026","Put","Ask","1,500","$712.5K","7,755","68,736","Friday, October 10, 2025 at 3:28 PM","3:43 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:44 PM","Call Sweep","TSLA","420","09/18/2026","Call","Ask","200","$1.9M","563","1,133","Friday, October 10, 2025 at 3:29 PM","3:44 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:45 PM","—","Friday, October 10, 2025 at 3:45 PM","Call Sweep","AMD","200","01/16/2026","Call","Ask","250","$885K","2,924","20,746","Friday, October 10, 2025 at 3:30 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:49 PM","Put Sweep","MS","160","12/17/2027","Put","Ask","205","$565.8K","207","373","Friday, October 10, 2025 at 3:34 PM","3:49 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:49 PM","Unusual Call Sweep","MS","155","12/17/2027","Call","Ask","160","$408K","170","33","Friday, October 10, 2025 at 3:34 PM","3:49 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:51 PM","Put Sweep","ORCL","292.5","10/17/2025","Put","Above","386","$453.6K","1,346","712","Friday, October 10, 2025 at 3:36 PM","3:51 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:53 PM","—","Friday, October 10, 2025 at 3:53 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","1,167","$3.5M","1,167","4","Friday, October 10, 2025 at 3:38 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:53 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","758","$2.3M","1,925","4","Friday, October 10, 2025 at 3:38 PM","3:53 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:53 PM","Unusual Put Sweep","OKLO","146","10/17/2025","Put","Ask","1,200","$1.2M","5,624","13","Friday, October 10, 2025 at 3:38 PM","3:53 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","210","$630K","2,185","4","Friday, October 10, 2025 at 3:39 PM","3:54 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","216","$648K","2,833","4","Friday, October 10, 2025 at 3:39 PM","3:54 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:58 PM","Call Sweep","BMNR","40","01/15/2027","Call","Ask","435","$1.3M","1,280","9,477","Friday, October 10, 2025 at 3:43 PM","3:58 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 3:58 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","429","$1.3M","3,266","4","Friday, October 10, 2025 at 3:43 PM","3:58 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 4:00 PM","—","Friday, October 10, 2025 at 4:00 PM","Call Sweep","NVDA","195","11/21/2025","Call","Ask","601","$492.8K","21,082","28,768","Friday, October 10, 2025 at 3:45 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 4:02 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","391","$1.1M","3,662","4","Friday, October 10, 2025 at 3:47 PM","4:02 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 4:02 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","199","$582.1K","3,861","4","Friday, October 10, 2025 at 3:47 PM","4:02 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 4:04 PM","Put Sweep","CAT","470","11/21/2025","Put","Ask","399","$598.5K","479","825","Friday, October 10, 2025 at 3:49 PM","4:04 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 4:09 PM","—","Friday, October 10, 2025 at 4:09 PM","Put Sweep","UPXI","7.5","12/19/2025","Put","Ask","1,500","$420K","1,506","5,170","Friday, October 10, 2025 at 3:54 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 4:13 PM","Put Sweep","MRVL","75","06/18/2026","Put","Above","417","$400.5K","439","1,334","Friday, October 10, 2025 at 3:57 PM","4:13 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 4:14 PM","Call Sweep","NVDA","175","12/19/2025","Call","Ask","200","$407K","750","25,693","Friday, October 10, 2025 at 3:59 PM","4:14 PM","]","","","","","","",""
